1,1,1,1
1,1,2,2
1,1,2,3
1,1,3,4
1,1,4,5
1,1,5,6
1,1,6,7
1,1,6,8
1,1,7,9
1,1,8,10
1,1,9,11
1,1,10,12
1,1,10,13
1,1,11,14
1,2,12,15
1,2,13,16
1,2,13,17
1,2,14,18
1,2,14,19
1,2,15,20
1,2,15,21
1,2,16,22
1,2,17,23
1,2,17,24
1,2,18,25
1,2,18,26
1,2,19,27
1,2,19,28
1,2,20,29
1,2,20,30
1,2,21,31
1,2,21,32
1,2,22,33
1,3,23,34
1,3,23,35
1,3,24,36
1,3,25,37
1,3,26,38
1,3,27,39
1,3,28,40
1,3,29,41
1,3,30,42
1,3,31,43
1,3,31,44
1,3,32,45
1,3,32,46
1,3,33,47
2,4,34,48
2,4,34,49
2,4,35,50
2,4,36,51
2,4,36,52
2,4,37,53
2,4,37,54
2,4,38,55
2,4,39,56
2,4,39,57
2,4,40,58
2,4,41,59
2,4,42,60
2,4,42,61
2,4,43,62
2,4,43,63
2,5,44,64
2,5,44,65
2,5,45,66
2,5,46,67
2,5,47,68
2,5,48,69
2,5,49,70
2,5,50,71
2,5,51,72
2,5,52,73
2,5,52,74
2,5,53,75
2,5,53,76
2,5,54,77
2,6,55,78
2,6,56,79
2,6,57,80
2,6,58,81
2,6,59,82
2,6,59,83
2,6,60,84
2,6,60,85
2,6,61,86
2,6,61,87
2,6,62,88
2,6,63,89
2,6,64,90
2,6,65,91
2,6,66,92
3,7,67,93
3,7,68,94
3,7,68,95
3,7,69,96
3,7,69,97
3,7,70,98
3,7,70,99
3,7,71,100
3,7,72,101
3,7,73,102
3,7,73,103
3,7,74,104
3,7,74,105
3,7,75,106
3,7,76,107
3,7,77,108
3,7,78,109
3,8,79,110
3,8,80,111
3,8,81,112
3,8,81,113
3,8,82,114
3,8,82,115
3,8,83,116
3,8,84,117
3,8,85,118
3,8,85,119
3,8,86,120
3,8,86,121
3,8,87,122
3,8,87,123
3,8,88,124
3,8,88,125
3,8,89,126
3,9,90,127
3,9,91,128
3,9,91,129
3,9,92,130
3,9,93,131
3,9,94,132
